adresse;codinsee;infoloc;acceshandi;payant;hommes;femmes;unisexe;enfants;web;openinghoursspecification;provenance;gid;lon;lat
Chemin de la Bletta;69256;;;;;;;;;;Open Street Map;149;4,9405405999993395;45,79892649999715
Chemin de la Bletta;69256;;;;;;;;;;Open Street Map;150;4,940277999999342;45,79932909999715
Lieudit La Fève;69256;;;;;;;;;;Open Street Map;152;4,935284699999393;45,802401599997154
Place Gilbert Dru;69256;angle rues République/Lakanal;True;True;;;;;;;ville de Vaulx-en-Velin, Métropole de Lyon, Open Street Map;154;4,920881499999544;45,78681019999716
Place Noël Carmellino;69256;22 Avenue Dimitrov / Place Noël Carmellino;;True;;;;;;"[{'opens': '07:00', 'closes': '12:00', 'dayOfWeek': ['http://schema.org/Thursday']}]";ville de Vaulx-en-Velin, Métropole de Lyon, Open Street Map;155;4,925460999999496;45,777524999997155
Place Roger Laurent;69256;Angle avenue grandclément;True;True;;;;;;;ville de Vaulx-en-Velin, Métropole de Lyon, Open Street Map;156;4,919829499999554;45,77033649999716
Rue François Rabelais;69256;Angle Jardin de la Paix et des Libertés/34 Rue François Rabelais;True;True;;;;;;;ville de Vaulx-en-Velin, Métropole de Lyon, Open Street Map;157;4,917285699999581;45,77762259999716
Rue Robert Saby;69256;Angle rues République/Saby;True;True;;;True;;;;ville de Vaulx-en-Velin, Métropole de Lyon, Open Street Map;158;4,926077399999489;45,78605979999715
2 Boulevard Ambroise Croizat;69259;;True;True;;;True;;;;Open Street Map;160;4,888202499999881;45,70611699999715
32 Rue du Château;69259;;True;True;;;;;;;Open Street Map;161;4,884613199999919;45,69993839999715
41bis Boulevard Laurent Gérin;69259;;True;True;;;;;;;Open Street Map;162;4,8831624999999335;45,70332029999716
5a Place Jules Grandclément;69259;;True;True;;;;;;;Open Street Map;163;4,88730279999989;45,71902289999716
99 Rue des Martyrs de la Résistance;69259;;True;True;;;;;;;Open Street Map;164;4,866286800000108;45,69059869999716
Rue Georges Lyvet;69259;Proche angle avenue du président edouard herriot;;;;;;;;;Métropole de Lyon, Open Street Map;167;4,87566540000001;45,69480889999715
76 Place Du 11 Novembre 1918 Et Du 8 Mai 1945;69260;Face n°76.;;;;;;;;;Métropole de Lyon, Open Street Map;168;4,812728300000657;45,64710939999715
Quai Du Bassin;69260;Angle rue port puy;;;;;;;;;Métropole de Lyon, Open Street Map;169;4,814116000000643;45,64647209999715
3 Place Tabareau;69384;en face;True;True;;;True;;https://www.lyon.fr/lieu/sanitaires/sanitaire-public-place-tabareau;;ville de Lyon, Open Street Map;333;4,8265739000005174;45,774547999997154
1  Place Du Chanoine Boursier;69266;Au nord ouest de la place;True;True;;;;;;"[{'opens': '06:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";ville de Villeurbanne, Open Street Map;170;4,878122199999986;45,76876239999716
1 Avenue Ampère;69266;;True;True;;;;;;;Open Street Map;171;4,9177044999995765;45,76682769999714
1 Rue du Canal;69266;;;True;;;True;;;;Open Street Map;172;4,89496109999981;45,78621659999715
1 Rue du Canal;69266;;;True;;;True;;;;Open Street Map;174;4,894187899999819;45,78582789999716
1 Rue du Cimetière;69266;;;;;;;;;;Open Street Map;175;4,911551199999639;45,76532959999715
12 Rue du Roulet;69266;;;True;;;True;;;;Open Street Map;177;4,894832599999813;45,786762299997164
192bis Rue Léon Blum;69266;;;;;;;;;;Open Street Map;180;4,91148059999964;45,76192619999715
205 Cours Emile Zola;69266;;;True;;;True;;;;Open Street Map;182;4,8834768999999305;45,76922259999716
21 Avenue Claude Bernard;69266;;True;;;;;;;;Open Street Map;183;4,867310600000097;45,78146879999716
24 Avenue Gaston Berger;69266;;True;True;True;True;True;;;;Open Street Map;184;4,870510700000063;45,78083469999716
3 Rue Enrico Fermi;69266;;True;;;;;;;;Open Street Map;185;4,869885600000071;45,783103699997156
Avenue Antoine De Saint Exupéry;69266;Angle Rue Frédéric Mistral;True;True;;;;;;"[{'opens': '06:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";ville de Villeurbanne, Open Street Map;189;4,877134699999996;45,75909459999715
Avenue Galline;69266;Entre l'Avenue Condorcet et le numéro 68;True;True;;;True;;;"[{'opens': '06:00', 'closes': '20:30', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";ville de Villeurbanne, Open Street Map;190;4,867715800000093;45,77626189999715
Avenue Paul Krüger;69266;Angle Avenue Général Leclerc;True;True;;;True;;;"[{'opens': '06:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";ville de Villeurbanne, Open Street Map;191;4,891359199999848;45,75561289999716
Boulevard Laurent Bonnevay;69266;Angle sud est de la place d'arrêt des bus Bonnevay;True;True;;;;;;"[{'opens': '06:30', 'closes': '23:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";ville de Villeurbanne, Open Street Map;192;4,909283499999663;45,76460399999715
Cours Emile Zola;69266;Angle Rue Magenta;True;True;;;True;;;"[{'opens': '06:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";ville de Villeurbanne, Open Street Map;193;4,870391200000065;45,770879999997135
Cours Tolstoï;69266;A l'extrémité du cours vers la Place Grandclément;True;True;;;;;;"[{'opens': '06:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";ville de Villeurbanne, Open Street Map;194;4,8892817999998694;45,75966709999716
Face Au 12 Place De La Paix;69266;Au nord est de la place;True;True;;;True;;;"[{'opens': '06:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";ville de Villeurbanne, Open Street Map;195;4,915117499999603;45,75172309999715
