longitude,latitude,Nom de l'installation,prompt
50.7155625655,2.31165203886,ALPHADEC (ex SAVERGLASS),seveso
44.538765387,0.612015987763,SOC COOP AGRICOLE DE LAMOUTHE (BIP),seveso
47.9694762715,0.183131374511,SDPS,seveso
45.5370177511,4.31012981678,SNF SAS ANDREZIEUX,seveso
44.1695274409,4.15173593028,RHODIA OPERATIONS,seveso
47.5549567868,6.92655569914,ANTARGAZ,seveso
49.4837180614,0.55461979797,ExxonMobil Chemical France,seveso
49.4736580895,0.240007065026,LBC SOGESTROL,seveso
48.0908440524,1.6993079559,AXEREAL,seveso
49.7495094144,3.36816125205,CITRA TRANSPORTS,seveso
43.4319790014,4.83346533145,KEM ONE France,seveso
48.5949985901,7.80238194457,SOCIETE EUROPEENNE DE STOCKAGE D2,seveso
45.1331755317,5.70406823189,ISOCHEM,seveso
46.1733992417,3.19952993441,THIVAT,seveso
45.8295434056,5.28165253788,ORAPI (SA),seveso
48.7587048344,1.92983874579,AIR PRODUCTS (EX.PRODAIR),seveso
50.0247619668,2.06706900908,BEAURAIN GAZ SAS,seveso
48.3900882475,-4.44429819269,STOCKBREST (STB1),seveso
45.673854539,4.84737815263,TOTAL RAFFINAGE FRANCE,seveso
50.402363488,3.14279315455,AIR LIQUIDE FRANCE INDUSTRIE (ALFI),seveso
49.1497498962,6.72269341316,ARKEMA,seveso
48.2678553016,1.19687276914,AXEREAL,seveso
45.363275804,6.28902028462,PROPHYM SARL,seveso
45.5771348641,4.79677606409,SIRA,seveso
47.2815862108,5.05680174526,EDIB,seveso
49.1432822933,6.70828944374,TPF,seveso
43.781567088,-0.218800285031,Transport et Infrastructures Gaz France,seveso
45.5994064451,4.09305523014,BECKER INDUSTRIE,seveso
43.1694741804,0.968602818814,BASF HEALTH AND CARE PRODUCTS FRANCE,seveso
49.0203872514,6.38241706901,LORCA Lemud,seveso
49.3046712907,2.57738027302,HUTTENES ALBERTUS FRANCE,seveso
48.2562279739,1.97206339721,COOPERATIVE AGRICOLE DE BOISSEAUX,seveso
43.8411140486,1.29508679182,ND LOGISTICS,seveso
45.5180942172,5.99998932477,ENTREPOT PETROLIER DE CHAMBERY,seveso
44.8987345535,4.88159010594,COMPAGNIE DISTRIBUTION DES HYDROCARBURES,seveso
45.0480515276,5.08526017876,COURBIS SYNTHESE,seveso
47.6159738928,5.14222458972,EXPLOSIFS DU CENTRE-EST,seveso
47.6380531287,2.75857099122,VWR INTERN,seveso
47.4185689581,5.70231728691,FAIVRE SAS,seveso
48.2337356129,4.11618932708,IMMOTROYES 1 SARL,seveso
45.0226345795,-0.59029635391,COBOGAL,seveso
43.7076141397,4.27974368235,UNION FRANCAISE DES ALCOOLS ET BRANDIES,seveso
43.412033248,3.71784291767,SEA INVEST SETE,seveso
43.746237871,4.43319273858,GOODMAN SAINT GILLES LOGISTICS,seveso
49.4595883978,1.04981997409,HEXION (ex.MOMENTIVE SPECIALTY CHEMICALS,seveso
45.0533310157,5.0976555982,FRANCO-BELGE DE FABRICATION DE COMBUSTIB,seveso
49.5067778231,2.93861161172,INEOS STYRENICS RIBECOURT SAS,seveso
48.9480053347,2.29450067428,TRAPIL,seveso
43.7824615371,4.65323921489,FIBRE EXCELLENCE TARASCON,seveso
50.5844162502,3.17363168928,LABORATOIRES ANIOS,seveso
45.4404547268,4.76771548346,TOURMALINE REAL ESTATE,seveso
45.7063249656,4.84907977067,RHODIA OPERATIONS,seveso
44.9277263892,-0.606737814323,UNIVAR (ex LAMBERT-RIVIERE),seveso
48.0792372647,2.41576703203,ARGOS FRANCE DEPOT,seveso
48.003205873,5.43170929788,PREVOT Jacques SARL,seveso
49.9404908683,2.28078532091,PROCTER et GAMBLE (PFL) ex GAZELEY,seveso
48.968823271,4.34272973535,ECOLAB PRODUCTION FRANCE,seveso
48.1819243014,2.71987123003,OUVRE FILS Sucrerie et Distillerie,seveso
47.3249133181,-2.12131261446,AIR LIQUIDE FRANCE INDUSTRIE (Ex-SOGIF),seveso
43.3787975236,-0.603209443664,FINORGA SAS,seveso
45.60771829,5.2622878341,EDF ENR PWT,seveso
49.603240994,3.50660038469,Direction Générale de la Sécurité Civile,seveso
43.6561405751,6.93609854447,CENTIPHARM,seveso
46.138674512,3.45161667052,LAGARDE SA,seveso
48.2339553855,-2.70534432028,EPC-FRANCE (ex Nitro Bickford GIE),seveso
49.4727383454,0.284452042503,ERAMET,seveso
48.077711333,1.88249075787,ND LOGISTICS IV,seveso
43.4993831034,5.17129044992,COMPAGNIE PETROCHIMIQUE DE BERRE SAS,seveso
46.7697622637,4.85552725059,UNITED INITIATORS SAS (exAzelisperoxyde),seveso
43.588676775,2.18557080742,OMG BORCHERS SAS,seveso
46.6213680254,1.04971819489,BUTAGAZ SAS,seveso
48.6289932287,2.59657797637,PROLOGIS  FRANCE XCV Eurl,seveso
43.9234168511,1.25989725834,LOGITIA S.A.S (ex INVIVO ),seveso
45.7116729288,4.83655560253,STOCKAGES PETROLIERS DU RHONE,seveso
47.2853236358,5.04762774041,ENTREPOT PETROLIER DE DIJON,seveso
43.4482852331,6.68742378083,DPCA,seveso
49.4589867201,2.21703820334,BORDAGE,seveso
49.9319123604,2.27028777541,BRENNTAG SPECIALITE,seveso
49.1433105011,6.70825030717,TPF,seveso
43.8324989956,-0.537630508165,MAISADOUR SCA,seveso
44.9094689906,-0.534322972966,SEA INVEST BORDEAUX SAS,seveso
